Ccode,Dcode,SchoolCode,Fiscalyear,Period,Colcode,Account,Fund,Resource,Projectyear,Goal,Function,Object,Value
"38","68478","0000000","2021","A   ","BA  ","0100000000000008011","01","0000","0","0000","0000","8011",248296670.00
"38","68478","0000000","2021","A   ","BA  ","0100000000000008019","01","0000","0","0000","0000","8019",86580.00
"38","68478","0000000","2021","A   ","BA  ","0100000000000008021","01","0000","0","0000","0000","8021",450444.00
"38","68478","0000000","2021","A   ","BA  ","0100000000000008041","01","0000","0","0000","0000","8041",200008144.02
"38","68478","0000000","2021","A   ","BA  ","0100000000000008042","01","0000","0","0000","0000","8042",9842050.00
"38","68478","0000000","2021","A   ","BA  ","0100000000000008043","01","0000","0","0000","0000","8043",-2126952.00
"38","68478","0000000","2021","A   ","BA  ","0100000000000008044","01","0000","0","0000","0000","8044",4938335.00
"38","68478","0000000","2021","A   ","BA  ","0100000000000008045","01","0000","0","0000","0000","8045",25592563.00
"38","68478","0000000","2021","A   ","BA  ","0100000000000008047","01","0000","0","0000","0000","8047",18378708.00
"38","68478","0000000","2021","A   ","BA  ","0100000000000008096","01","0000","0","0000","0000","8096",-22608208.00
"38","68478","0000000","2021","A   ","BA  ","0100000000000008290","01","0000","0","0000","0000","8290",97617.27
"38","68478","0000000","2021","A   ","BA  ","0100000000000008550","01","0000","0","0000","0000","8550",2108391.00
"38","68478","0000000","2021","A   ","BA  ","0100000000000008590","01","0000","0","0000","0000","8590",16456.00
"38","68478","0000000","2021","A   ","BA  ","0100000000000008622","01","0000","0","0000","0000","8622",38733740.57
"38","68478","0000000","2021","A   ","BA  ","0100000000000008650","01","0000","0","0000","0000","8650",12451128.54
"38","68478","0000000","2021","A   ","BA  ","0100000000000008660","01","0000","0","0000","0000","8660",1751788.05
"38","68478","0000000","2021","A   ","BA  ","0100000000000008662","01","0000","0","0000","0000","8662",-7496306.90
"38","68478","0000000","2021","A   ","BA  ","0100000000000008691","01","0000","0","0000","0000","8691",625.60
"38","68478","0000000","2021","A   ","BA  ","0100000000000008699","01","0000","0","0000","0000","8699",120413204.81
"38","68478","0000000","2021","A   ","BA  ","0100000000000008980","01","0000","0","0000","0000","8980",-112048554.99
"38","68478","0000000","2021","A   ","BA  ","0100000000000009110","01","0000","0","0000","0000","9110",277474224.95
"38","68478","0000000","2021","A   ","BA  ","0100000000000009111","01","0000","0","0000","0000","9111",-7405857.62
"38","68478","0000000","2021","A   ","BA  ","0100000000000009120","01","0000","0","0000","0000","9120",-513824.49
"38","68478","0000000","2021","A   ","BA  ","0100000000000009130","01","0000","0","0000","0000","9130",500.00
"38","68478","0000000","2021","A   ","BA  ","0100000000000009150","01","0000","0","0000","0000","9150",3500000.00
"38","68478","0000000","2021","A   ","BA  ","0100000000000009200","01","0000","0","0000","0000","9200",2611868.02
"38","68478","0000000","2021","A   ","BA  ","0100000000000009290","01","0000","0","0000","0000","9290",7443061.98
