Ccode,Dcode,Scode,EntityName
19,64287,1996479,Opportunities for Learning - Baldwin Park
19,64352,0128488,Family First Charter
19,64352,0128496,New Opportunities Charter
19,64469,0128736,Opportunities for Learning - Duarte
19,64469,0134858,California School of the Arts - San Gabriel Valley
19,64469,0139535,"Options For Youth - Duarte, Inc"
19,64584,1996305,Gorman Learning Center
19,64592,0100354,Hawthorne Math and Science Academy
19,64634,0101667,Wilder's Preparatory Academy Charter
19,64634,0116822,Wilder's Preparatory Academy Charter Middle
19,64634,0120303,ICEF Inglewood Elementary Charter Academy
19,64634,0128991,Grace Hopper STEM Academy
19,64634,1996529,City Honors International Preparatory High
19,64634,1996586,Animo Inglewood Charter High
19,64634,6014518,La Tijera Academy of Excellence Charter
19,64642,0136127,Sage Oak Charter School- Keppel
19,64667,0123174,Life Source International Charter
19,64667,0125559,iLEAD Lancaster Charter
19,64691,1996438,Environmental Charter High - Lawndale
19,64709,0100602,"Lennox Mathematics, Science and Technology Academy"
19,64709,0107508,Century Community Charter
19,64709,1996313,Animo Leadership High
19,64725,0127506,Intellectual Virtues Academy of Long Beach
19,64725,0131938,Clear Passage Educational Center
19,64733,0100289,N.E.W. Academy of Science and Arts
19,64733,0100669,Stella Middle Charter Academy
19,64733,0100677,High Tech LA
19,64733,0100743,Accelerated Charter Elementary
19,64733,0100750,Wallis Annenberg High
19,64733,0100800,Central City Value
19,64733,0100867,KIPP Los Angeles College Preparatory
19,64733,0101196,ICEF View Park Preparatory High
19,64733,0101444,KIPP Academy of Opportunity
19,64733,0101659,"CATCH Prep Charter High, Inc."
19,64733,0101675,Oscar De La Hoya Animo Charter High
19,64733,0101683,Renaissance Arts Academy
19,64733,0102335,Ocean Charter
19,64733,0102426,PUC Milagro Charter
19,64733,0102434,Animo South Los Angeles Charter
19,64733,0102442,PUC Lakeview Charter Academy
19,64733,0102483,N.E.W. Academy Canoga Park
19,64733,0102491,Dr. Theodore T. Alexander Jr. Science Center
19,64733,0102541,New Designs Charter
19,64733,0106351,Ivy Academia
19,64733,0106427,Synergy Charter Academy
19,64733,0106831,Animo Venice Charter High
19,64733,0106849,Animo Pat Brown
19,64733,0106864,Alliance Gertz-Ressler Richard Merkin 6-12 Complex
19,64733,0106872,Bert Corona Charter
19,64733,0107755,Port of Los Angeles High
19,64733,0108878,CHAMPS - Charter HS of Arts-Multimedia & Performing
19,64733,0108886,Gabriella Charter
19,64733,0108894,Alliance Judy Ivie Burton Technology Academy High
19,64733,0108910,ISANA Nascent Academy
19,64733,0108928,Larchmont Charter
19,64733,0108936,Alliance Collins Family College-Ready High
19,64733,0109884,James Jordan Middle
19,64733,0109934,Our Community Charter
19,64733,0110304,Los Angeles Academy of Arts and Enterprise
19,64733,0111211,New Heights Charter
19,64733,0111484,New Village Girls Academy
19,64733,0111492,Alliance Patti And Peter Neuwirth Leadership Academy
19,64733,0111500,Alliance Dr. Olga Mohan High
19,64733,0111518,Alliance Jack H. Skirball Middle
19,64733,0111575,Animo Ralph Bunche Charter High
19,64733,0111583,Animo Jackie Robinson High
19,64733,0111625,Animo Watts College Preparatory Academy
19,64733,0111641,Alliance Ouchi-O'Donovan 6-12 Complex
19,64733,0111658,Alliance Marc & Eva Stern Math and Science
19,64733,0112060,Hesby Oaks Leadership Charter
19,64733,0112201,PUC Excel Charter Academy
19,64733,0112235,California Creative Learning Academy
19,64733,0112508,Stella High Charter Academy
19,64733,0114884,Aspire Junior Collegiate Academy
19,64733,0114959,Monsenor Oscar Romero Charter Middle
19,64733,0114967,Global Education Academy
19,64733,0115048,Fenton Primary Center
19,64733,0115113,"Ivy Bound Academy of Math, Science, and Technology Charter Middle"
19,64733,0115139,Center for Advanced Learning
19,64733,0115253,Discovery Charter Preparatory #2
19,64733,0115287,ICEF Vista Middle Academy
19,64733,0116509,Alliance Morgan McKinzie High
19,64733,0117036,Enadia Way Technology Charter
19,64733,0117598,Alliance Piera Barbaglia Shaheen Health Services Academy
19,64733,0117606,Alliance Leichtman-Levine Family Foundation Environmental Science High
19,64733,0117614,New Los Angeles Charter
19,64733,0117622,Magnolia Science Academy 4
19,64733,0117648,Magnolia Science Academy 6
19,64733,0117655,Magnolia Science Academy 7
19,64733,0117846,Para Los Niños Middle
19,64733,0117895,Synergy Kinetic Academy
19,64733,0117903,KIPP Raices Academy
19,64733,0117911,New Millennium Secondary
19,64733,0117937,ICEF Vista Elementary Academy
19,64733,0117952,ICEF Innovation Los Angeles Charter
19,64733,0117978,Goethe International Charter
19,64733,0118588,Alain Leroy Locke College Preparatory Academy
19,64733,0119982,Equitas Academy Charter
19,64733,0120014,KIPP Endeavor College Preparatory Charter
19,64733,0120022,Valor Academy Middle
19,64733,0120030,Alliance College-Ready Middle Academy 4
19,64733,0120071,New Designs Charter School-Watts
19,64733,0120097,Academia Moderna
19,64733,0120477,Aspire Titan Academy
19,64733,0120527,Watts Learning Center Charter Middle
19,64733,0121079,Ararat Charter
19,64733,0121137,Ingenium Charter
19,64733,0121285,Alliance Cindy and Bill Simon Technology Academy High
19,64733,0121293,Alliance Tennenbaum Family Technology High
19,64733,0121699,KIPP Empower Academy
19,64733,0121707,KIPP Comienza Community Prep
19,64733,0121848,Crown Preparatory Academy
19,64733,0122242,TEACH Academy of Technologies
19,64733,0122481,Animo Jefferson Charter Middle
19,64733,0122556,Citizens of the World Charter School Hollywood
19,64733,0122564,Camino Nuevo Elementary #3
19,64733,0122606,PUC Lakeview Charter High
19,64733,0122614,Aspire Gateway Academy Charter
19,64733,0122622,Aspire Firestone Academy Charter
19,64733,0122655,ISANA Octavia Academy
19,64733,0122721,Aspire Pacific Academy
19,64733,0122739,Vista Charter Middle
19,64733,0122747,Magnolia Science Academy Bell
19,64733,0122754,Valley Charter Elementary
19,64733,0122838,Valley Charter Middle
19,64733,0122861,Camino Nuevo Charter Academy #2
19,64733,0123133,Alliance Susan and Eric Smidt Technology High
19,64733,0123141,Alliance Ted K. Tajima High
19,64733,0123158,Arts In Action Community Charter
19,64733,0123166,ISANA Palmati Academy
19,64733,0123984,ISANA Cardinal Academy
19,64733,0123992,Animo Ellen Ochoa Charter Middle
19,64733,0124008,Animo James B. Taylor Charter Middle
19,64733,0124016,Animo Legacy Charter Middle
19,64733,0124198,Extera Public
19,64733,0124222,Rise Kohyang Middle
19,64733,0124560,Synergy Quantum Academy
19,64733,0124784,Aspire Slauson Academy Charter
19,64733,0124792,Aspire Juanita Tate Academy Charter
19,64733,0124800,Aspire Inskeep Academy Charter
19,64733,0124818,Los Angeles Leadership Primary Academy
19,64733,0124826,Camino Nuevo Charter Academy #4
19,64733,0124891,Alliance Renee and Meyer Luskin Academy High
19,64733,0124933,PUC Early College Academy for Leaders and Scholars (ECALS)
19,64733,0124941,Alliance Margaret M. Bloomfield Technology Academy High
19,64733,0125609,KIPP Philosophers Academy
19,64733,0125625,KIPP Scholar Academy
19,64733,0125641,KIPP Sol Academy
19,64733,0125864,Ednovate - USC Hybrid High College Prep
19,64733,0126136,Math and Science College Preparatory
19,64733,0126169,Equitas Academy #2
19,64733,0126177,Citizens of the World Charter School Silver Lake
19,64733,0126193,Citizens of the World Charter School Mar Vista
19,64733,0126797,Aspire Centennial College Preparatory Academy
19,64733,0127670,KIPP Iluminar Academy
19,64733,0127886,City Language Immersion Charter
19,64733,0127894,Valor Academy High
19,64733,0127910,Camino Nuevo High #2
19,64733,0127936,PREPA TEC - Los Angeles
19,64733,0127985,Ingenium Charter Middle
19,64733,0128009,Alliance Virgil Roberts Leadership Academy
19,64733,0128033,Alliance College-Ready Middle Academy 8
19,64733,0128041,Alliance Kory Hunter Middle
19,64733,0128058,Alliance College-Ready Middle Academy 12
19,64733,0128132,Extera Public School No. 2
19,64733,0128371,New Horizons Charter Academy
19,64733,0128512,KIPP Academy of Innovation
19,64733,0129270,Animo Mae Jemison Charter Middle
19,64733,0129460,KIPP Vida Preparatory Academy
19,64733,0129593,PUC Inspire Charter Academy
19,64733,0129619,PUC Community Charter Elementary
19,64733,0129627,TEACH Tech Charter High
19,64733,0129650,Equitas Academy #3 Charter
19,64733,0129833,Global Education Academy 2
19,64733,0129858,Everest Value
19,64733,0129866,Village Charter Academy
19,64733,0131466,Fenton STEM Academy: Elementary Center for Science Technology Engineering and Mathematics
19,64733,0131722,Fenton Charter Leadership Academy
19,64733,0131771,KIPP Ignite Academy
19,64733,0131797,KIPP Promesa Prep
19,64733,0131821,Collegiate Charter High School of Los Angeles
19,64733,0131904,Libertas College Preparatory Charter
19,64733,0132027,University Preparatory Value High
19,64733,0132084,Alliance Marine - Innovation and Technology 6-12 Complex
19,64733,0132126,Bert Corona Charter High
19,64733,0132282,Ednovate - East College Prep
19,64733,0132928,Anahuacalmecac International University Preparatory of North America
19,64733,0133272,PUC Triumph Charter Academy and PUC Triumph Charter High
19,64733,0133280,PUC Nueva Esperanza Charter Academy
19,64733,0133298,PUC CALS Middle School and Early College High
19,64733,0133686,Equitas Academy 4
19,64733,0133694,Valor Academy Elementary
19,64733,0133702,New Los Angeles Charter Elementary
19,64733,0133710,Girls Athletic Leadership School Los Angeles
19,64733,0133868,Rise Kohyang High
19,64733,0134023,Animo Florence-Firestone Charter Middle
19,64733,0134205,Arts in Action Community Middle
19,64733,0135509,Gabriella Charter 2
19,64733,0135517,KIPP Corazon Academy
19,64733,0135616,Crete Academy
19,64733,0135632,WISH Academy High
19,64733,0135715,Ednovate - Esperanza College Prep
19,64733,0135723,Ednovate - Brio College Prep
19,64733,0135921,WISH Community
19,64733,0135954,ISANA Himalia Academy
19,64733,0136986,STEM Preparatory Elementary
19,64733,0136994,Rise Kohyang Elementary
19,64733,0137463,California Creative Learning Academy MS
19,64733,0137471,High Tech LA Middle
19,64733,0137513,Learning by Design Charter
19,64733,0137521,Vox Collegiate of Los Angeles
19,64733,0137562,Matrix for Success Academy
19,64733,0137604,Stella Elementary Charter Academy
19,64733,0137612,Valley International Preparatory High
19,64733,0138305,TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary
19,64733,0138883,Equitas Academy 6
19,64733,0139089,Vista Horizon Global Academy
19,64733,0139097,Scholarship Prep - South Bay
19,64733,0139121,Equitas Academy 5
19,64733,0139832,Citizens of the World Charter School West Valley
19,64733,0140004,El Rio Community
19,64733,0140111,Invictus Leadership Academy
19,64733,0140129,Ednovate - South LA College Prep
19,64733,0140749,Citizens of the World Charter School East Valley
19,64733,0164780,Ednovate - Encore Arts and Media College Prep
19,64733,1931047,Birmingham Community Charter High
19,64733,1931708,Chatsworth Charter High
19,64733,1931864,Grover Cleveland Charter High
19,64733,1932623,El Camino Real Charter High
19,64733,1933746,Granada Hills Charter
19,64733,1937226,Reseda Charter High
19,64733,1938554,Sylmar Charter High
