"2021-22","38684780000000","BS1","BE"
"0100000000000008011","308078001.01","I"
"0100000000000008021","0.01","I"
"0100000000000008041","188473491.00","I"
"0100000000000008042","1159305.00","I"
"0100000000000008043","-6093913.00","I"
"0100000000000008044","8543838.00","I"
"0100000000000008045","20032844.00","I"
"0100000000000008047","17635994.00","I"
"0100000000000008096","-27918439.00","I"
"0100000000000008290","12117753.00","I"
"0100000000000008550","2091036.00","I"
"0100000000000008622","34894620.00","I"
"0100000000000008650","11053913.91","I"
"0100000000000008660","572792.00","I"
"0100000000000008662","0.01","I"
"0100000000000008691","0.01","I"
"0100000000000008699","121200000.02","I"
"0100000000000008980","0.01","I"
"0100000000000009712","1373096.92","I"
"0100000000000009713","126838.72","I"
"0100000000000009750","87000000.00","I"
"0100000000000009760","40000000.00","I"
"0100000000000009790","14407331.36","C"
"0100000000000009791","42758492.13","I"
"0100000000000009793","-1500000.00","I"
"010000000000000979Z","142907267.00","C"
"0100000000021001300","71040.02","I"
"0100000000021002400","365017.91","I"
"0100000000021002900","2213.13","I"
"0100000000021003101","12020.74","I"
"0100000000021003301","1058.07","I"
"0100000000021003302","105011.77","I"
"0100000000021003401","3880.02","I"
"0100000000021003402","34920.10","I"
"0100000000021003501","873.68","I"
"0100000000021003502","4504.24","I"
"0100000000021003601","2131.51","I"
"0100000000021003602","10986.26","I"
"0100000000021003701","5867.68","I"
"0100000000021003702","23878.11","I"
"0100000000021004300","9338.14","I"
"0100000000021004400","108.00","I"
"0100000000021005200","22219.00","I"
"0100000000021005800","7380001.00","I"
"0100000000021005900","500.00","I"
"0100000000024202300","73544.00","I"
"0100000000024203302","21093.78","I"
"0100000000024203402","9700.00","I"
"0100000000024203502","904.77","I"
"0100000000024203602","2206.81","I"
"0100000000024203702","4796.41","I"
"0100000000024204300","115163.98","I"
"0100000000024204400","14111.00","I"
"0100000000024205200","8221.00","I"
"0100000000024205600","6000.00","I"
"0100000000024205800","84403.27","I"
"0100000000027001300","21941468.51","I"
"0100000000027002400","6925973.56","I"
"0100000000027002900","5000.00","I"
"0100000000027003101","3211366.47","I"
"0100000000027003301","326676.17","I"
"0100000000027003302","3262025.77","I"
"0100000000027003401","1689790.53","I"
"0100000000027003402","1853901.32","I"
